,timestamp,open,high,low,close,volume,close_time,quote_av,trades,tb_base_av,tb_quote_av,ignore
0,2020-11-21 23:00,18636.95000000,18745.47000000,18600.00000000,18703.80000000,2920.57705900,1606003199999,54564417.43695964,59799,1465.61545800,27383547.05060726,0
1,2020-11-22 00:00,18703.80000000,18750.00000000,18500.00000000,18547.96000000,3853.16075300,1606006799999,71866977.48683207,80111,1830.58098400,34151971.82191487,0
2,2020-11-22 01:00,18547.84000000,18612.04000000,18350.00000000,18470.40000000,6262.82206700,1606010399999,115728023.57554851,96234,2973.81966900,54950169.39151849,0
3,2020-11-22 02:00,18470.39000000,18602.99000000,18430.83000000,18583.91000000,2389.61582900,1606013999999,44264815.01808885,54725,1117.66580400,20705508.24800239,0
4,2020-11-22 03:00,18583.91000000,18593.48000000,18492.39000000,18559.91000000,1911.45564500,1606017599999,35444170.82444279,39207,961.42214100,17825205.87531669,0
5,2020-11-22 04:00,18559.91000000,18611.00000000,18430.68000000,18602.46000000,1570.51797500,1606021199999,29096709.50523353,38649,812.98490800,15064198.87989507,0
6,2020-11-22 05:00,18602.45000000,18605.96000000,18478.01000000,18517.31000000,1559.84019500,1606024799999,28900830.78638501,33900,751.96655700,13931091.44256902,0
7,2020-11-22 06:00,18517.31000000,18588.86000000,18400.30000000,18481.99000000,2206.75293300,1606028399999,40777060.23651072,48637,1056.70229900,19529393.03945677,0
8,2020-11-22 07:00,18481.99000000,18511.55000000,18255.93000000,18498.31000000,3648.26248800,1606031999999,67127663.23033975,67583,1726.93098000,31797531.58685241,0
9,2020-11-22 08:00,18498.31000000,18503.14000000,18185.86000000,18211.65000000,4029.65147700,1606035599999,73900600.50218578,77480,1750.68604400,32114758.21236357,0
10,2020-11-22 09:00,18211.66000000,18419.71000000,18121.00000000,18379.07000000,4004.58523500,1606039199999,73291187.11284343,75543,2052.55939700,37577066.54010519,0
11,2020-11-22 10:00,18379.06000000,18379.06000000,18051.00000000,18172.45000000,3764.87366900,1606042799999,68502012.35455606,66633,1528.68958200,27826922.73557068,0
12,2020-11-22 11:00,18172.44000000,18218.81000000,17610.86000000,17887.82000000,9274.53096000,1606046399999,165911150.18051982,130750,4279.46254400,76540586.51423369,0
13,2020-11-22 12:00,17891.76000000,18158.55000000,17820.00000000,18107.25000000,5916.45639100,1606049999999,106695343.18781003,95313,2840.42990200,51223983.22719131,0
14,2020-11-22 13:00,18107.25000000,18240.00000000,18049.26000000,18196.37000000,3634.63097300,1606053599999,66023218.34522694,67842,1686.88509200,30642266.41760540,0
15,2020-11-22 14:00,18196.36000000,18296.04000000,18142.21000000,18179.07000000,2890.91744400,1606057199999,52671694.20845110,53937,1381.39710500,25166197.56061913,0
16,2020-11-22 15:00,18179.07000000,18333.52000000,18178.53000000,18295.40000000,2220.81287500,1606060799999,40577333.31836239,47267,1047.51135700,19140711.25409801,0
17,2020-11-22 16:00,18295.41000000,18589.96000000,18258.11000000,18554.93000000,4155.17041600,1606064399999,76627794.39203574,68561,2028.83571300,37418711.61324070,0
18,2020-11-22 17:00,18554.93000000,18580.00000000,18444.40000000,18480.00000000,2847.52812500,1606067999999,52699019.75810867,46687,1614.78221700,29883516.70879693,0
19,2020-11-22 18:00,18480.00000000,18630.03000000,18468.17000000,18504.89000000,3087.05176400,1606071599999,57280013.37845470,55608,1719.18607000,31903110.37183358,0
20,2020-11-22 19:00,18504.89000000,18593.06000000,18487.52000000,18573.58000000,2107.34606900,1606075199999,39078721.21159252,54205,1108.13988700,20549290.65649257,0
21,2020-11-22 20:00,18573.59000000,18683.77000000,18506.00000000,18550.21000000,3206.15154100,1606078799999,59625725.32386334,72224,1678.35776900,31213664.03407835,0
22,2020-11-22 21:00,18548.95000000,18614.34000000,18490.00000000,18567.04000000,1563.08026500,1606082399999,29035450.50438254,40044,774.72026000,14391719.36773463,0
23,2020-11-22 22:00,18567.05000000,18649.00000000,18517.50000000,18613.41000000,1505.65348700,1606085999999,28008957.21371000,50631,667.29019500,12415201.47242086,0
24,2020-11-22 23:00,18613.41000000,18623.37000000,18367.82000000,18414.43000000,4034.86920200,1606089599999,74528078.39855852,66753,1773.41990400,32746494.16526645,0
25,2020-11-23 00:00,18413.88000000,18523.09000000,18100.05000000,18136.30000000,4390.10555100,1606093199999,80325480.88262096,83981,1864.91356400,34115713.14986636,0
26,2020-11-23 01:00,18136.31000000,18273.08000000,18000.00000000,18209.51000000,4681.48116500,1606096799999,84908122.41769941,77543,2125.33036200,38554955.07432525,0
27,2020-11-23 02:00,18211.56000000,18349.05000000,18188.26000000,18210.50000000,2722.72240900,1606100399999,49732722.77923737,49826,1265.09302900,23107828.33909247,0
28,2020-11-23 03:00,18210.49000000,18436.70000000,18180.14000000,18369.00000000,2749.24658100,1606103999999,50410233.27844853,54145,1353.74135400,24822971.88545135,0
29,2020-11-23 04:00,18367.49000000,18515.45000000,18337.04000000,18461.19000000,2543.77378500,1606107599999,46916950.77168609,50727,1278.43673300,23582106.45665917,0
30,2020-11-23 05:00,18461.19000000,18509.98000000,18381.14000000,18438.26000000,2315.74416800,1606111199999,42749697.13937960,46802,1227.88439100,22670236.54113946,0
31,2020-11-23 06:00,18438.26000000,18520.00000000,18308.00000000,18520.00000000,3063.31651900,1606114799999,56354619.47259563,52943,1545.04892500,28439986.29036256,0
32,2020-11-23 07:00,18519.99000000,18556.83000000,18428.39000000,18458.13000000,2479.15684700,1606118399999,45828894.58419206,50975,1268.09609800,23442055.85791925,0
33,2020-11-23 08:00,18458.12000000,18660.00000000,18453.55000000,18575.01000000,3674.18164100,1606121999999,68313958.65326358,68984,1956.84210800,36382363.15669908,0
34,2020-11-23 09:00,18575.01000000,18657.88000000,18534.12000000,18637.79000000,3068.09191700,1606125599999,57072099.39039431,58401,1723.91497700,32070460.79885759,0
35,2020-11-23 10:00,18637.80000000,18766.00000000,18636.41000000,18747.04000000,3953.70076200,1606129199999,73949829.32750978,76569,2118.26398700,39622035.38076252,0
36,2020-11-23 11:00,18747.03000000,18747.89000000,18560.00000000,18567.70000000,3580.10218700,1606132799999,66733387.25171788,70197,1631.71834100,30416001.53145661,0
37,2020-11-23 12:00,18567.70000000,18645.00000000,18480.07000000,18619.88000000,3346.11722400,1606136399999,62126748.05015691,63940,1507.48868600,27987147.26717933,0
38,2020-11-23 13:00,18619.88000000,18662.15000000,18331.50000000,18594.27000000,7020.73309300,1606139999999,129724042.61576464,95359,3830.49373400,70726662.42819867,0
