,timestamp,open,high,low,close,volume,close_time,quote_av,trades,tb_base_av,tb_quote_av,ignore
0,2020-11-21 23:00,18636.95000000,18666.63000000,18600.00000000,18651.25000000,532.70084200,1606000499999,9928428.41717288,11707,234.73031100,4375196.38634043,0
1,2020-11-21 23:15,18651.46000000,18689.00000000,18614.99000000,18676.34000000,663.24847000,1606001399999,12374965.56066047,13185,331.23362500,6180207.44129169,0
2,2020-11-21 23:30,18676.35000000,18740.00000000,18660.27000000,18732.09000000,779.14955200,1606002299999,14566631.68831619,16500,424.82106400,7941940.01310524,0
3,2020-11-21 23:45,18732.09000000,18745.47000000,18665.70000000,18703.80000000,945.47819500,1606003199999,17694391.77081010,18407,474.83045800,8886203.20986990,0
4,2020-11-22 00:00,18703.80000000,18722.00000000,18655.84000000,18721.34000000,795.32718800,1606004099999,14862912.61600106,18761,388.71503500,7264300.85370610,0
5,2020-11-22 00:15,18721.34000000,18750.00000000,18669.15000000,18689.67000000,853.90628400,1606004999999,15988749.20382179,20311,447.19853400,8374187.08913376,0
6,2020-11-22 00:30,18689.68000000,18703.34000000,18663.01000000,18664.69000000,578.89232000,1606005899999,10816664.30455067,13211,260.83903600,4873611.51939734,0
7,2020-11-22 00:45,18664.70000000,18674.20000000,18500.00000000,18547.96000000,1625.03496100,1606006799999,30198651.36245855,27828,733.82837900,13639872.35967767,0
8,2020-11-22 01:00,18547.84000000,18612.04000000,18489.82000000,18489.83000000,1230.00994700,1606007699999,22813607.83517696,20964,517.00744200,9593239.70828431,0
9,2020-11-22 01:15,18489.82000000,18576.15000000,18471.16000000,18522.25000000,1337.79169400,1606008599999,24801303.02511955,19961,639.94453500,11864028.50659418,0
10,2020-11-22 01:30,18522.24000000,18522.25000000,18369.52000000,18391.19000000,2592.77559000,1606009499999,47795378.51883408,33162,1224.04221400,22563209.58887248,0
11,2020-11-22 01:45,18391.19000000,18486.27000000,18350.00000000,18470.40000000,1102.24483600,1606010399999,20317734.19641792,22147,592.82547800,10929691.58776752,0
12,2020-11-22 02:00,18470.39000000,18525.98000000,18443.35000000,18445.92000000,789.43450400,1606011299999,14600813.84667390,15225,313.89197700,5805036.17644815,0
13,2020-11-22 02:15,18445.25000000,18511.62000000,18430.83000000,18498.43000000,524.93011400,1606012199999,9702279.26358398,13002,253.62709100,4687545.38674145,0
14,2020-11-22 02:30,18499.96000000,18593.67000000,18480.31000000,18575.88000000,644.53961300,1606013099999,11957897.88262383,14277,350.14418700,6496217.94550562,0
15,2020-11-22 02:45,18575.87000000,18602.99000000,18550.63000000,18583.91000000,430.71159800,1606013999999,8003824.02520714,12221,200.00254900,3716708.73930717,0
16,2020-11-22 03:00,18583.91000000,18593.48000000,18547.00000000,18550.99000000,478.75347100,1606014899999,8889289.20674257,10253,207.91593200,3860576.86330515,0
17,2020-11-22 03:15,18550.99000000,18573.84000000,18492.39000000,18493.21000000,616.52596600,1606015799999,11426582.40501406,12048,324.02326400,6005434.01344682,0
18,2020-11-22 03:30,18493.20000000,18555.86000000,18493.20000000,18544.09000000,493.78354100,1606016699999,9146353.80822044,9632,282.75454300,5236913.43007768,0
19,2020-11-22 03:45,18544.09000000,18572.23000000,18528.00000000,18559.91000000,322.39266700,1606017599999,5981945.40446572,7274,146.72840200,2722281.56848704,0
20,2020-11-22 04:00,18559.91000000,18571.50000000,18481.16000000,18481.25000000,441.04140400,1606018499999,8163816.36126530,9879,201.63628900,3732805.81610297,0
21,2020-11-22 04:15,18481.24000000,18524.17000000,18430.68000000,18521.33000000,464.36194900,1606019399999,8582923.63997667,10592,246.92373800,4564826.50270553,0
22,2020-11-22 04:30,18521.34000000,18611.00000000,18521.34000000,18602.89000000,371.23864400,1606020299999,6888719.89311302,10128,223.28997800,4143956.67016031,0
23,2020-11-22 04:45,18602.88000000,18611.00000000,18557.87000000,18602.46000000,293.87597800,1606021199999,5461249.61087854,8050,141.13490300,2622609.89092626,0
24,2020-11-22 05:00,18602.45000000,18605.96000000,18520.00000000,18548.42000000,489.85753100,1606022099999,9089315.82709859,8212,191.45728900,3552380.69293374,0
25,2020-11-22 05:15,18548.43000000,18574.90000000,18538.54000000,18553.24000000,187.75682800,1606022999999,3483715.62231006,5604,118.87483100,2205495.10899276,0
26,2020-11-22 05:30,18553.25000000,18553.25000000,18488.00000000,18492.44000000,381.10243400,1606023899999,7055662.11909285,9736,155.53134100,2879488.18623009,0
27,2020-11-22 05:45,18492.44000000,18525.00000000,18478.01000000,18517.31000000,501.12340200,1606024799999,9272137.21788351,10348,286.10309600,5293727.45441243,0
28,2020-11-22 06:00,18517.31000000,18588.86000000,18445.00000000,18445.83000000,509.35149800,1606025699999,9434595.64411490,11318,235.11309100,4355708.60581590,0
29,2020-11-22 06:15,18445.86000000,18473.00000000,18400.30000000,18452.02000000,622.85446700,1606026599999,11483219.76974286,15896,278.46431600,5133993.93302239,0
30,2020-11-22 06:30,18452.02000000,18511.39000000,18411.98000000,18495.17000000,453.90646100,1606027499999,8387545.76716359,11771,231.40070100,4276203.63468746,0
31,2020-11-22 06:45,18495.18000000,18513.14000000,18439.67000000,18481.99000000,620.64050700,1606028399999,11471699.05548937,9652,311.72419100,5763486.86593102,0
32,2020-11-22 07:00,18481.99000000,18482.18000000,18377.64000000,18394.24000000,659.05979200,1606029299999,12133737.84637780,13619,352.76786800,6495024.22402416,0
33,2020-11-22 07:15,18394.31000000,18432.39000000,18350.00000000,18354.14000000,715.29903300,1606030199999,13152531.90155219,15278,307.56886600,5657909.07361211,0
34,2020-11-22 07:30,18354.13000000,18470.00000000,18255.93000000,18464.99000000,1632.94886700,1606031099999,29997333.57122856,25521,684.49395400,12584271.05918576,0
35,2020-11-22 07:45,18465.35000000,18511.55000000,18453.36000000,18498.31000000,640.95479600,1606031999999,11844059.91118120,13165,382.10029200,7060327.23003038,0
36,2020-11-22 08:00,18498.31000000,18503.14000000,18415.87000000,18439.50000000,511.78933000,1606032899999,9450325.95025185,13816,211.41386100,3904109.33790863,0
37,2020-11-22 08:15,18439.50000000,18440.43000000,18302.04000000,18368.23000000,1068.17150900,1606033799999,19635262.18052753,23712,458.14623600,8423067.44206014,0
38,2020-11-22 08:30,18367.21000000,18400.46000000,18255.00000000,18299.58000000,1062.77835100,1606034699999,19487811.77176644,16484,507.67730900,9312225.71966393,0
39,2020-11-22 08:45,18299.59000000,18356.67000000,18185.86000000,18211.65000000,1386.91228700,1606035599999,25327200.59963996,23468,573.44863800,10475355.71273087,0
40,2020-11-22 09:00,18211.66000000,18354.52000000,18121.00000000,18330.15000000,1429.37757200,1606036499999,26100900.48598842,25154,691.59806000,12635199.02819650,0
41,2020-11-22 09:15,18330.15000000,18351.00000000,18200.00000000,18260.01000000,984.26133500,1606037399999,17979011.47163474,17770,478.35586400,8737858.56447215,0
42,2020-11-22 09:30,18259.78000000,18419.71000000,18257.95000000,18410.53000000,874.13902300,1606038299999,16040797.60100010,17310,498.17870500,9140755.44336607,0
43,2020-11-22 09:45,18410.54000000,18417.75000000,18330.00000000,18379.07000000,716.80730500,1606039199999,13170477.55422017,15309,384.42676800,7063253.50407047,0
